feature,importance,stddev,p_value,n,p99_high,p99_low,group
max_contiguous_activity_ms,0.0008762506941053,3.318176501558962e-05,2.46283761603176e-07,5,0.0009445724068931,0.0008079289813174,handcrafted_other
tcn_embed_04,0.0008727419194854,5.0553099327437946e-05,1.3448958603908482e-06,5,0.0009768314497187,0.0007686523892521,tcn_embedding
base_mean_abs_slope,0.0008652434277174,5.8908937354098304e-05,2.562555968779292e-06,5,0.0009865377439375,0.0007439491114973,handcrafted_other
tail_mean_abs_slope,0.0008402519561251,7.02891601491924e-05,5.821772884147299e-06,5,0.0009849783083717,0.0006955256038785,handcrafted_other
max_abs_slope_after_half,0.000816960119974,7.224616446733562e-05,7.263100546527664e-06,5,0.0009657159711603,0.0006682042687876,handcrafted_other
tcn_embed_06,0.0006659033710835,0.0001604771777846,0.0003752201765432,5,0.0009963280981723,0.0003354786439946,tcn_embedding
tcn_embed_27,0.0006615036837568,9.30044515349604e-05,4.567795430145029e-05,5,0.0008530011349254,0.0004700062325882,tcn_embedding
tcn_embed_19,0.0005702351289469,6.347575857602584e-05,1.812406808469734e-05,5,0.0007009325931832,0.0004395376647107,tcn_embedding
ring_damping_slope,0.0004430386612253,7.77139469533171e-05,0.0001090938593268,5,0.0006030527521231,0.0002830245703275,handcrafted_other
ring_mean_peak_spacing_ms,0.0004281002346842,0.0001043369747075,0.0003918464983024,5,0.0006429315076973,0.0002132689616711,handcrafted_other
largest_late_shift_time_ms,0.0004233229575953,8.922559967353522e-05,0.0002234368801246,5,0.0006070397005519,0.0002396062146386,late_settle
tail_p2p,0.0004036936712284,3.071192528942817e-05,3.988940993737303e-06,5,0.0004669299498832,0.0003404573925735,handcrafted_other
ring_std_peak_spacing_ms,0.0003931389859675,0.0001184626999133,0.0008800228602834,5,0.0006370553224175,0.0001492226495175,handcrafted_other
mean_abs_slope_last_10pct,0.0003259863739512,5.45026262239875e-05,9.037273006940568e-05,5,0.0004382080346527,0.0002137647132497,handcrafted_other
base_min,0.0003100920509769,6.242344582384118e-05,0.0001868532861989,5,0.0004386227887119,0.0001815613132419,handcrafted_other
std_last_10pct,0.0003072118086938,3.210526310747659e-05,1.4107068338465734e-05,5,0.000373316989174,0.0002411066282137,handcrafted_other
mean_abs_slope_last_30pct,0.000276784337384,4.072941561467408e-05,5.46779246639999e-05,5,0.000360646767075,0.0001929219076931,handcrafted_other
tail_std,0.0002760966822705,4.2900816300212354e-05,6.775568004330425e-05,5,0.000364430055985,0.0001877633085561,handcrafted_other
meta_noise_to_span,0.0002742756073172,2.9855587020334775e-05,1.6584589951677478e-05,5,0.0003357486736401,0.0002128025409942,handcrafted_other
tcn_embed_12,0.0002586103222498,2.1954583189873906e-05,6.173575671092512e-06,5,0.0003038151124824,0.0002134055320173,tcn_embedding
shape_min_pos_ratio,0.0002333635500954,4.123966471839456e-05,0.00011231531271,5,0.0003182765897433,0.0001484505104474,handcrafted_other
tcn_embed_36,0.000222213271528,5.503029535983178e-05,0.0004166819895496,5,0.0003355214102734,0.0001089051327826,tcn_embedding
shape_post_min_slope_norm,0.0001764525305551,6.017788670315909e-05,0.0013992609567705,5,0.0003003596310236,5.254543008652017e-05,handcrafted_other
tail_mean_abs_slope_last_20pct,0.0001667443864889,1.4741899969784814e-05,7.25567077635346e-06,5,0.0001970981622814,0.0001363906106964,late_settle
meta_denom_used,0.0001602264572421,3.514093332270226e-05,0.0002607023365724,5,0.0002325821246528,8.787078983136737e-05,handcrafted_other
meta_end_noise,0.0001579461954621,3.349254511448849e-05,0.0002287378771006,5,0.000226907808769,8.898458215520483e-05,handcrafted_other
tcn_embed_55,0.0001543743557214,2.7798795410354312e-05,0.0001209030074221,5,0.0002116124596915,9.71362517513115e-05,tcn_embedding
plateau_enter_time_ms,0.0001432403588982,3.36593219019116e-05,0.0003404274048926,5,0.0002125453679155,7.393534988096534e-05,late_settle
sd,0.0001368055029781,8.535621333512215e-05,0.0115437766200244,5,0.0003125551259834,-3.894412002711426e-05,handcrafted_other
shape_min_to_end_norm,0.0001335412470911,5.044971670695122e-05,0.0020404255023071,5,0.0002374179110799,2.966458310236543e-05,handcrafted_other
meta_global_span,0.0001194501823036,1.6308970616892985e-05,4.068385258353667e-05,5,0.0001530305782177,8.58697863895552e-05,handcrafted_other
meta_end_ref,0.0001120360616257,4.2270583475160325e-05,0.0020307762960574,5,0.0001990717772426,2.500034600886809e-05,handcrafted_other
stable_run_len_ms,0.0001080803426958,3.391192585847085e-05,0.0010248092751204,5,0.000177905466751,3.8255218640649455e-05,late_settle
meta_start_ref,0.0001004326478434,3.317999639754293e-05,0.0012430484183114,5,0.0001687507190223,3.2114576664665114e-05,handcrafted_other
tail_creep_norm,6.982192934596524e-05,6.1152577474832e-05,0.0315499673180595,5,0.000195735931585,-5.609207289315666e-05,handcrafted_other
plateau_enter_pos_ratio,4.505498550797585e-05,1.2313672003476517e-05,0.0006077145270147,5,7.040900635616764e-05,1.9700964659784057e-05,late_settle
tcn_embed_59,2.1039674762978605e-05,6.298502154767548e-06,0.0008585851268895,5,3.400837775419613e-05,8.070971771761082e-06,tcn_embedding
shape_rebound_norm,1.7065734396924658e-05,2.960255112840058e-05,0.1334327294314853,5,7.801779632103885e-05,-4.3886327527189526e-05,handcrafted_other
tcn_embed_32,1.2222206828000487e-05,2.900584987193973e-06,0.0003536680483552,5,1.819455140697784e-05,6.249862249023137e-06,tcn_embedding
tail_decay_slope,8.808585430204047e-06,3.0140992516396665e-05,0.2745529461485047,5,7.086930561425304e-05,-5.325213475384495e-05,handcrafted_other
tail_monotonicity,4.07896113330461e-06,2.465062934303285e-05,0.3650686672453441,5,5.483494765851409e-05,-4.667702539190488e-05,handcrafted_other
quiet_after_head_ratio,2.0011328161900764e-08,1.2607595366226237e-08,0.0119080024830501,5,4.5970541276446836e-08,-5.947884952645297e-09,handcrafted_other
tcn_embed_33,0.0,0.0,0.5,5,0.0,0.0,tcn_embedding
first_quiet_pos_ratio,-3.0554909777741334e-07,5.584405237002576e-07,0.8558501092284134,5,8.442876589897028e-07,-1.4553858545445295e-06,handcrafted_other
meta_direction,-7.639560206683383e-07,1.20061806744074e-05,0.5531317306127304,5,2.3956935930988336e-05,-2.548484797232501e-05,handcrafted_other
wave_id,-2.252271407588713e-05,5.853891821713562e-05,0.780939097429066,5,9.800972762702796e-05,-0.0001430551557788,handcrafted_other
